id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1120876255294686155,Sweet City Life -  shared space,20302932,Joelle,,Melbourne,-37.80877,144.9509359,Private room,80,7,1,2024-06-29,0.43,1,65,1,
1120974610909462105,HeartCBD 2 Bedroom /Pool/GYM,9198367,Nest-Apartments,,Melbourne,-37.81021,144.96197,Entire home/apt,154,3,6,2024-07-29,1.18,37,173,6,
1121101824231196798,Residences| Convenient Docklands Studios-Long Stay,140421118,Danny,,Melbourne,-37.81233344130538,144.9415902324717,Entire home/apt,135,5,2,2024-07-06,0.47,23,57,2,
1121150540407891340,1 Bedroom 1 Bath Premier Apartment,567803596,Melbourne Square Apartments,,Melbourne,-37.82513430060339,144.96454645595756,Entire home/apt,3999,2,0,,,4,30,0,
1121157054354830715,Luxury Penthouse 3 Bed 2 Bath Apartment with View,567803596,Melbourne Square Apartments,,Melbourne,-37.825269246658905,144.9625252070467,Entire home/apt,470,2,0,,,4,264,0,
1121167999036252958,2 Bedroom 1 Bath Premier Apartment,567803596,Melbourne Square Apartments,,Melbourne,-37.827122750665026,144.96397833662658,Entire home/apt,4999,2,0,,,4,30,0,
1121240963609893662,Hillside Spa Villa Two,161537068,Rachel,,Yarra Ranges,-37.5960358,145.3724078,Entire home/apt,363,2,1,2024-07-07,0.49,4,319,1,
1121261010024147275,Modern 2-Bed Apt + Parking| West Melbourne,544040683,Gold,,Melbourne,-37.808487124187046,144.94823768790258,Entire home/apt,159,3,10,2024-08-18,2.61,2,58,10,
1121263356635985929,Couple’s Bush Haven,157857592,Anna,,Yarra Ranges,-37.7772935,145.5835448,Entire home/apt,271,1,26,2024-08-24,5.65,1,169,26,
1121285793474307150,Townhouse-Beautiful Beachside Warehouse Conversion,265052144,Josie,,Port Phillip,-37.83939,144.93723,Entire home/apt,,2,0,,,1,0,0,
1121292176613087209,Places for enjoy your trip,569151573,Harry,,Melton,-37.7695851,144.6920241,Entire home/apt,295,1,0,,,2,269,0,
1121293520637074793,Home stay with a senior couple,238594280,Kularatne,,Hume,-37.569129743419836,144.89563342831272,Private room,60,1,0,,,3,270,0,
1121307792387314673,StayAU 2BR Cottage Farm Retreat,244502930,Annika & Amon,,Yarra Ranges,-37.691970907701574,145.53249309948797,Entire home/apt,265,2,2,2024-07-03,0.54,75,357,2,
1121339967205871986,Boutique Apt on St Kilda Rd with Historic Elegance,446080599,Bedspoke,,Port Phillip,-37.84351767356613,144.97808372575028,Entire home/apt,121,1,5,2024-07-30,1.11,123,361,5,
1121372302940157030,One bedroom in quiet home,13907290,Manny,,Knox,-37.88367,145.23162,Private room,,1,0,,,1,0,0,
1121376490149594702,Cool & Peaceful by the Mountain.,49009521,Muhammad  Inam,,Knox,-37.94207392828615,145.2462433696628,Private room,79,1,0,,,2,245,0,
1121386275414351761,Private guest suite & amenities,52445464,Emma,,Monash,-37.933778808351754,145.20423184136195,Entire home/apt,136,1,14,2024-07-12,2.64,1,17,14,
1121388189432434420,StayAU 2BR Serene Lakeside Haven,244502930,Annika & Amon,,Yarra Ranges,-37.690970751163235,145.53200590799557,Entire home/apt,265,2,0,,,75,361,0,
1121400593673010201,Samma | Charming 2BR in Ivanhoe w/ Gym,525971641,Samma,,Banyule,-37.75461548187476,145.05048528051762,Entire home/apt,174,1,4,2024-08-11,0.75,9,222,4,
1121402818706237027,Church St Charmer 1BR Apt with Balcony & Parking,239827525,AirKeeper,,Yarra,-37.81542452360263,144.99929083494982,Entire home/apt,111,2,2,2024-05-01,0.45,96,322,2,
1121479101758935884,NEW Modern 1-BR CBD Apt + Gym + Pool,10394006,Daniel,,Melbourne,-37.8154724,144.9528304,Entire home/apt,139,2,7,2024-07-21,1.45,14,64,7,
1121547355712346159,Boutique Haven:Swan St: near MCG,9885145,Ali,,Yarra,-37.8262118,145.0016339,Entire home/apt,156,2,0,,,8,92,0,
1121990680279106445,Breathtaking View lux APT @Collins St Heart CBD,501908081,Angie,,Melbourne,-37.81951,144.95604,Entire home/apt,103,1,15,2024-08-17,3.00,14,68,15,
1121991595652943823,Stay on Swan St - 10 Mins to MCG,239827525,AirKeeper,,Yarra,-37.82549117583538,145.00250078989183,Entire home/apt,90,2,1,2024-06-16,0.36,96,148,1,
1122052084616798188,Resort living in Melbourne,502714368,Aaron,,Yarra,-37.78291,144.97872,Entire home/apt,245,2,1,2024-04-15,0.21,1,81,1,
1122060586483776772,Spacious Queen Apartment,543180103,The Village,,Melbourne,-37.803418986502685,144.95563277621602,Private room,211,1,0,,,4,287,0,
1122061651981011645,Spacious Twin Ensuite Room,543180103,The Village,,Melbourne,-37.80333,144.95554,Private room,141,1,0,,,4,358,0,
1122114750211909329,"Chic St Kilda Retreat, Close to Beach & Eats",279001183,MadeComfy,,Port Phillip,-37.86652203568949,144.97387211030733,Entire home/apt,144,3,7,2024-08-16,1.47,224,302,7,
1122117130981759877,Central Suburban Town House,26088431,Stacey,,Hume,-37.59099568975518,144.91541041167395,Entire home/apt,130,2,2,2024-05-13,0.39,1,225,2,
1122125826149022888,3 Beds 3 Bath close CBD & beach,569340636,Fey,,Port Phillip,-37.830465810830376,144.942916286759,Entire home/apt,175,1,1,2024-04-04,0.19,1,260,1,
1122137677762486551,CBD 1BR APT with Waterfront View&free parking,254627785,Kathy,,Melbourne,-37.820392994754094,144.94199927195777,Entire home/apt,148,1,11,2024-07-18,2.34,12,233,11,
1122164205458035870,KozyGuru | Greenvale | 5 Bedroom Holiday Home,158144181,Megan,,Hume,-37.61474709212136,144.88557689960908,Entire home/apt,185,3,4,2024-08-25,1.08,24,71,4,
1122208453875084198,Great location ! Free Tram Zone. Dockland ! !,524163901,Grace,,Melbourne,-37.81509431556067,144.94679742779493,Private room,85,2,20,2024-08-23,3.85,1,57,20,
